Rank,Run_ID,Passed_Constraints,Total_Constraints,Warnings,Unassigned,Hour_Difference,Discrimination_Score,WD_Morn,WD_Aftn,SatMornPers,SunMPPers,WeekHrs,MonthNightLim,Month_Wknd,ForbShifts,Festivity,caio_M,caio_P,caio_N,caio_WKND,caio_totH,caio_avgH,genoveffa_M,genoveffa_P,genoveffa_N,genoveffa_WKND,genoveffa_totH,genoveffa_avgH,pallo_M,pallo_P,pallo_N,pallo_WKND,pallo_totH,pallo_avgH,pinco_M,pinco_P,pinco_N,pinco_WKND,pinco_totH,pinco_avgH,sempronio_M,sempronio_P,sempronio_N,sempronio_WKND,sempronio_totH,sempronio_avgH,tizio_M,tizio_P,tizio_N,tizio_WKND,tizio_totH,tizio_avgH
85,81,6,9,2,2,24,11.0,*,,,,*,*,,,,14,4,1,2,144,33.3,13,4,2,1,150,34.6,9,1,0,2,138,31.9,10,2,1,0,126,29.1,13,4,1,2,150,34.6,14,4,0,1,132,30.5
86,18,6,9,2,2,24,12.0,*,,,,*,*,,,,15,3,1,2,156,36.0,14,4,0,1,132,30.5,9,2,1,2,150,34.6,10,1,2,0,132,30.5,12,5,1,2,138,31.9,14,4,0,1,132,30.5
87,61,6,9,2,2,24,12.0,*,,,,*,*,,,,15,4,0,1,126,29.1,14,3,1,0,126,29.1,9,1,0,1,126,29.1,10,2,1,1,150,34.6,13,4,1,2,150,34.6,12,5,2,2,150,34.6
88,65,6,9,2,2,24,12.0,*,,,,*,*,,,,13,3,2,1,144,33.3,14,3,1,1,138,31.9,9,1,0,2,150,34.6,11,3,0,0,126,29.1,14,5,1,2,150,34.6,13,4,1,2,138,31.9
89,22,6,9,2,2,30,11.0,*,,,,*,*,,,,15,4,0,2,150,34.6,14,4,0,1,144,33.3,8,1,1,1,132,30.5,9,3,2,0,126,29.1,13,3,2,2,156,36.0,14,4,0,2,132,30.5
90,90,6,9,2,2,30,11.0,*,,,,*,*,,,,12,4,2,2,144,33.3,15,3,0,0,132,30.5,9,1,1,1,138,31.9,8,4,1,1,126,29.1,15,3,1,2,156,36.0,14,4,0,2,144,33.3
91,91,6,9,2,2,30,11.0,*,,,,*,*,,,,12,4,2,2,144,33.3,12,4,2,1,132,30.5,9,1,0,2,150,34.6,9,4,1,0,120,27.7,16,3,0,2,150,34.6,15,3,0,1,144,33.3
92,19,6,9,2,2,30,12.0,*,,,,*,*,,,,13,4,1,2,138,31.9,15,2,1,1,138,31.9,8,1,1,1,156,36.0,9,3,2,0,126,29.1,14,5,0,2,138,31.9,14,4,0,2,144,33.3
93,97,6,9,2,2,30,12.0,*,,,,*,*,,,,14,5,0,2,138,31.9,13,4,1,1,126,29.1,8,1,1,2,156,36.0,10,2,2,0,126,29.1,12,5,1,1,126,29.1,14,2,0,2,156,36.0
94,72,6,9,2,2,30,14.0,*,,,,*,*,,,,14,5,0,2,138,31.9,11,5,3,0,132,30.5,9,1,0,1,126,29.1,11,2,0,1,144,33.3,12,2,2,2,156,36.0,14,4,0,2,132,30.5
95,50,6,9,2,2,36,10.0,*,,,,*,*,,,,13,4,1,2,150,34.6,15,3,0,0,132,30.5,7,3,2,2,156,36.0,10,2,1,1,138,31.9,15,3,1,2,144,33.3,14,4,0,1,120,27.7
96,77,6,9,2,2,36,10.0,*,,,,*,*,,,,16,3,0,2,138,31.9,14,4,0,1,132,30.5,7,2,2,2,156,36.0,9,4,1,0,120,27.7,12,4,2,1,132,30.5,14,2,0,2,156,36.0
97,37,6,9,2,2,36,12.0,*,,,,*,*,,,,14,4,1,2,144,33.3,14,3,1,0,138,31.9,8,1,1,2,144,33.3,10,3,0,1,120,27.7,12,5,2,1,138,31.9,15,3,0,2,156,36.0
98,8,6,9,2,2,36,13.0,*,,,,*,*,,,,14,2,2,2,144,33.3,14,4,0,2,144,33.3,9,1,0,1,138,31.9,8,4,1,0,114,26.3,13,6,1,2,150,34.6,15,2,1,1,150,34.6
99,34,6,9,2,2,42,10.0,*,,,,*,*,,,,14,4,2,2,156,36.0,14,4,0,1,120,27.7,9,2,0,2,150,34.6,9,3,1,0,114,26.3,13,4,1,2,150,34.6,15,2,1,1,150,34.6
